Product,Size,Total Sale,Date,Location,Payment Method,Quantity
Product 18,Size S,7615,2024-03-02 11:41:16.813598,Mumbai,UPI,8
Product 93,Size M,2378,2024-06-21 11:41:16.813600,Chennai,Credit Card,10
Product 58,Size S,8470,2024-12-06 11:41:16.813603,Mumbai,Net Banking,2
Product 24,Size XL,9576,2025-07-09 11:41:16.813606,Kolkata,Net Banking,7
Product 54,Size XL,7083,2024-06-15 11:41:16.813609,Chennai,Debit Card,5
Product 98,Size S,6177,2025-11-08 11:41:16.813611,Kolkata,Credit Card,1
Product 40,Size S,1287,2025-03-16 11:41:16.813614,Mumbai,Net Banking,5
Product 48,Size S,2288,2025-06-23 11:41:16.813616,Kolkata,Debit Card,9
Product 1,Size XL,629,2025-11-13 11:41:16.813619,Delhi,UPI,9
Product 28,Size L,1030,2024-01-30 11:41:16.813622,Delhi,UPI,3
Product 58,Size M,7592,2025-07-22 11:41:16.813625,Kolkata,UPI,6
Product 82,Size XL,134,2024-03-20 11:41:16.813627,Bangalore,Debit Card,7
Product 79,Size M,1272,2025-06-08 11:41:16.813630,Bangalore,Debit Card,4
Product 38,Size L,3975,2025-01-31 11:41:16.813633,Mumbai,Credit Card,7
Product 65,Size M,7318,2024-10-15 11:41:16.813635,Kolkata,Debit Card,8
Product 73,Size M,8997,2023-12-18 11:41:16.813638,Kolkata,Debit Card,4
Product 6,Size S,5543,2025-07-09 11:41:16.813641,Delhi,UPI,1
Product 23,Size M,3306,2024-05-17 11:41:16.813643,Bangalore,Credit Card,1
Product 17,Size S,8471,2025-12-16 11:41:16.813646,Chennai,Credit Card,6
Product 23,Size S,7847,2025-06-08 11:41:16.813648,Delhi,Credit Card,5
Product 98,Size XL,2227,2025-02-21 11:41:16.813651,Mumbai,Net Banking,10
Product 16,Size L,7070,2024-04-26 11:41:16.813654,Kolkata,Net Banking,8
Product 100,Size XL,3044,2024-08-12 11:41:16.813656,Kolkata,Debit Card,1
Product 83,Size S,9886,2025-10-19 11:41:16.813659,Chennai,Credit Card,1
Product 100,Size L,9028,2024-11-06 11:41:16.813661,Kolkata,UPI,8
Product 90,Size S,5230,2025-02-20 11:41:16.813664,Bangalore,Credit Card,3
Product 26,Size M,9079,2024-04-02 11:41:16.813667,Delhi,Net Banking,5
Product 62,Size M,7732,2025-02-05 11:41:16.813669,Delhi,Debit Card,7
Product 33,Size XL,5132,2024-04-23 11:41:16.813672,Kolkata,Debit Card,3
Product 92,Size L,2255,2024-03-10 11:41:16.813674,Delhi,UPI,10
Product 39,Size M,1041,2024-11-29 11:41:16.813677,Chennai,Debit Card,1
Product 73,Size XL,712,2024-04-01 11:41:16.813679,Chennai,Net Banking,4
Product 84,Size L,2621,2024-12-18 11:41:16.813682,Bangalore,Debit Card,10
